ImageDisplay, myX=2, myY=2, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=27, myY=2, myWidth=20, myHeight=20, myPath=./res/b.png
ImageDisplay, myX=52, myY=2, myWidth=20, myHeight=20, myPath=./res/b.png
ImageDisplay, myX=2, myY=27, myWidth=20, myHeight=20, myPath=./res/b.png
ImageDisplay, myX=27, myY=27, myWidth=20, myHeight=20, myPath=./res/b.png
ImageDisplay, myX=52, myY=27, myWidth=20, myHeight=20, myPath=./res/c.png
ImageDisplay, myX=2, myY=52, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=27, myY=52, myWidth=20, myHeight=20, myPath=./res/d.png
ImageDisplay, myX=52, myY=52, myWidth=20, myHeight=20, myPath=./res/d.png
ImageDisplay, myX=2, myY=77, myWidth=20, myHeight=20, myPath=./res/c.png
ImageDisplay, myX=27, myY=77, myWidth=20, myHeight=20, myPath=./res/c.png
ImageDisplay, myX=52, myY=77, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=2, myY=102, myWidth=20, myHeight=20, myPath=./res/c.png
ImageDisplay, myX=27, myY=102, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=52, myY=102, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=200, myY=200, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=225, myY=200, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=250, myY=200, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=275, myY=200, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=300, myY=200, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=325, myY=200, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=350, myY=200, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=375, myY=200, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=200, myY=225, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=225, myY=225, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=250, myY=225, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=275, myY=225, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=300, myY=225, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=325, myY=225, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=350, myY=225, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=375, myY=225, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=200, myY=250, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=225, myY=250, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=250, myY=250, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=275, myY=250, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=300, myY=250, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=325, myY=250, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=350, myY=250, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=375, myY=250, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=200, myY=275, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=225, myY=275, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=250, myY=275, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=275, myY=275, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=300, myY=275, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=325, myY=275, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=350, myY=275, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=375, myY=275, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=200, myY=300, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=225, myY=300, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=250, myY=300, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=300, myY=300, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=325, myY=300, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=350, myY=300, myWidth=20, myHeight=20, myPath=./res/a.png
ImageDisplay, myX=375, myY=300, myWidth=20, myHeight=20, myPath=./res/a.png
